"['2013-07-19', '115.34', '116.47', '115.34', '116.19', '3093840', 'MMM', 111.89, 1.0384, 111.19, 1.045]"
"['2013-07-22', '116.0', '116.82', '115.66', '116.28', '2823478', 'MMM', 112.22, 1.0362, 111.31, 1.0447]"
"['2013-07-23', '116.44', '117.3', '116.01', '116.75', '2254488', 'MMM', 112.68, 1.0361, 111.44, 1.0476]"
"['2013-07-24', '117.07', '117.09', '116.06', '116.33', '1808468', 'MMM', 113.09, 1.0286, 111.56, 1.0428]"
"['2013-07-25', '115.3', '116.9', '114.84', '116.55', '3346643', 'MMM', 113.43, 1.0275, 111.67, 1.0437]"
"['2013-07-26', '116.17', '116.93', '115.34', '116.91', '2332171', 'MMM', 113.76, 1.0277, 111.78, 1.0459]"
"['2013-07-29', '116.41', '116.8052', '116.06', '116.61', '1460394', 'MMM', 114.13, 1.0217, 111.89, 1.0422]"
"['2013-07-30', '116.9', '117.12', '116.33', '116.84', '2285234', 'MMM', 114.5, 1.0204, 112.0, 1.0432]"
"['2013-07-31', '117.13', '118.596', '117.01', '117.43', '2693963', 'MMM', 114.94, 1.0217, 112.12, 1.0474]"
"['2013-08-01', '118.38', '119.26', '118.27', '118.41', '2996921', 'MMM', 115.39, 1.0262, 112.24, 1.055]"
"['2013-08-02', '117.98', '118.35', '117.47', '118.26', '1899268', 'MMM', 115.72, 1.0219, 112.39, 1.0522]"
"['2013-08-05', '118.17', '118.25', '117.81', '117.92', '1351794', 'MMM', 116.01, 1.0165, 112.54, 1.0478]"
"['2013-08-06', '117.82', '117.95', '117.14', '117.5', '1841126', 'MMM', 116.22, 1.011, 112.69, 1.0427]"
"['2013-08-07', '117.3', '117.948', '117.04', '117.83', '1934049', 'MMM', 116.44, 1.0119, 112.81, 1.0445]"
"['2013-08-08', '118.27', '119.0', '117.64', '118.68', '2380613', 'MMM', 116.65, 1.0174, 112.96, 1.0506]"
"['2013-08-09', '118.73', '119.2', '117.7', '118.31', '2460101', 'MMM', 116.81, 1.0128, 113.1, 1.0461]"
"['2013-08-12', '118.0', '118.76', '117.72', '118.38', '1647357', 'MMM', 116.98, 1.012, 113.26, 1.0452]"
"['2013-08-13', '118.52', '119.18', '117.19', '118.67', '2023282', 'MMM', 117.2, 1.0125, 113.43, 1.0462]"
"['2013-08-14', '118.9', '118.91', '117.57', '117.62', '2021385', 'MMM', 117.35, 1.0023, 113.58, 1.0356]"
"['2013-08-15', '116.92', '116.92', '115.6401', '115.85', '1994897', 'MMM', 117.37, 0.987, 113.72, 1.0187]"
"['2013-08-16', '115.68', '116.21', '115.64', '115.9', '2332815', 'MMM', 117.35, 0.9876, 113.87, 1.0178]"
"['2013-08-19', '115.83', '115.96', '115.47', '115.61', '1829281', 'MMM', 117.32, 0.9854, 113.96, 1.0145]"
"['2013-08-20', '115.52', '115.89', '115.19', '115.42', '2151336', 'MMM', 117.25, 0.9844, 114.05, 1.012]"
"['2013-08-21', '114.79', '114.84', '113.34', '113.42', '2293686', 'MMM', 117.11, 0.9685, 114.11, 0.994]"
"['2013-08-22', '113.61', '114.89', '113.3445', '114.67', '2002010', 'MMM', 117.01, 0.98, 114.23, 1.0039]"
"['2013-08-23', '114.76', '115.0', '113.59', '114.4', '1953688', 'MMM', 116.89, 0.9787, 114.29, 1.001]"
"['2013-08-26', '114.38', '115.1725', '114.04', '114.33', '1816978', 'MMM', 116.77, 0.9791, 114.36, 0.9997]"
"['2013-08-27', '113.41', '113.82', '112.67', '112.73', '1916248', 'MMM', 116.57, 0.9671, 114.37, 0.9857]"
"['2013-08-28', '112.51', '113.42', '112.36', '113.0', '1545807', 'MMM', 116.35, 0.9712, 114.37, 0.988]"
"['2013-08-29', '112.87', '113.83', '112.58', '113.32', '1457228', 'MMM', 116.09, 0.9761, 114.41, 0.9905]"
"['2013-08-30', '113.61', '113.74', '112.85', '113.58', '2205589', 'MMM', 115.86, 0.9803, 114.5, 0.992]"
"['2013-09-03', '114.57', '114.92', '112.85', '113.22', '2168074', 'MMM', 115.62, 0.9792, 114.58, 0.9881]"
"['2013-09-04', '113.08', '114.865', '113.08', '114.55', '2312243', 'MMM', 115.47, 0.992, 114.72, 0.9985]"
"['2013-09-05', '114.35', '115.12', '114.03', '114.87', '1954308', 'MMM', 115.33, 0.996, 114.85, 1.0002]"
"['2013-09-06', '115.09', '115.82', '113.8877', '115.04', '1965563', 'MMM', 115.14, 0.9991, 114.96, 1.0007]"
"['2013-09-09', '115.63', '117.14', '115.51', '116.74', '1976769', 'MMM', 115.07, 1.0145, 115.09, 1.0143]"
"['2013-09-10', '117.31', '117.87', '117.07', '117.59', '2572759', 'MMM', 115.03, 1.0223, 115.25, 1.0203]"
"['2013-09-11', '117.63', '118.71', '117.59', '118.71', '1890470', 'MMM', 115.03, 1.032, 115.44, 1.0283]"
"['2013-09-12', '118.8', '118.914', '118.0', '118.2', '2399733', 'MMM', 115.06, 1.0273, 115.63, 1.0222]"
"['2013-09-13', '118.49', '118.85', '118.32', '118.6', '1973296', 'MMM', 115.2, 1.0295, 115.81, 1.0241]"
"['2013-09-16', '119.79', '120.0', '119.06', '119.23', '2758726', 'MMM', 115.36, 1.0335, 115.97, 1.0281]"
"['2013-09-17', '119.07', '120.19', '118.65', '119.93', '2436138', 'MMM', 115.58, 1.0376, 116.12, 1.0328]"
"['2013-09-18', '120.25', '121.51', '119.87', '121.29', '3307746', 'MMM', 115.87, 1.0468, 116.28, 1.0431]"
"['2013-09-19', '121.15', '122.27', '121.15', '121.57', '2896161', 'MMM', 116.28, 1.0455, 116.44, 1.0441]"
"['2013-09-20', '121.5', '121.93', '120.01', '120.01', '7005029', 'MMM', 116.55, 1.0297, 116.55, 1.0297]"
"['2013-09-23', '120.43', '121.47', '120.37', '121.11', '3468547', 'MMM', 116.88, 1.0362, 116.67, 1.0381]"
